symbol,strike,option_type,short_expiry,long_expiry,entry_time,entry_cost,entry_cost_per_contract,pnl,pnl_pct,pnl_per_contract,exit_time,success,failure_reason,iv_short_entry,iv_long_entry,iv_ratio_entry
CTRM,2.5,C,2025-12-19,2026-01-16,2025-11-12 15:00:00,0.24999999999999997,24.999999999999996,-0.19999999999999998,-80.0,-20.0,2025-11-14 10:00:00,True,,,,
BZH,22.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.3500000000000001,35.00000000000001,0.3999999999999999,114.28571428571423,39.99999999999999,2025-11-14 10:00:00,True,,,,
CYBN,5.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.1499999999999999,14.999999999999991,0.3500000000000001,233.3333333333335,35.00000000000001,2025-11-13 16:00:00,True,,,,
ANGX,5.0,C,2025-11-21,2026-01-16,2025-11-12 15:00:00,0.7,70.0,-0.15000000000000002,-21.428571428571434,-15.000000000000002,2025-11-14 10:00:00,True,,,,
BNTC,15.0,C,2025-12-19,2026-01-16,2025-11-12 15:00:00,1.65,165.0,0.0,0.0,0.0,2025-11-14 10:00:00,True,,,,
BAP,250.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,2.5,250.0,12.6,504.0,1260.0,2025-11-14 10:00:00,True,,,,
BETR,55.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,6.300000000000001,630.0000000000001,4.6,73.015873015873,459.99999999999994,2025-11-13 16:00:00,True,,,,
AREN,5.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.55,55.00000000000001,0.0,0.0,0.0,2025-11-14 10:00:00,True,,,,
TMC,5.0,C,2025-11-21,2025-11-28,2025-11-12 15:00:00,0.15000000000000002,15.000000000000002,0.04999999999999993,33.33333333333328,4.999999999999993,2025-11-14 10:00:00,True,,,,
AEG,7.5,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.15000000000000002,15.000000000000002,0.04999999999999999,33.33333333333332,4.999999999999999,2025-11-13 16:00:00,True,,,,
DGXX,4.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.35,35.0,-0.04999999999999993,-14.285714285714269,-4.999999999999993,2025-11-14 10:00:00,True,,,,
ATER,5.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.05,5.0,0.0,0.0,0.0,2025-11-14 10:00:00,True,,,,
DIS,110.0,C,2025-11-14,2025-11-21,2025-11-12 15:00:00,0.25,25.0,0.47,188.0,47.0,2025-11-13 16:00:00,True,,,,
CMBM,2.5,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.4,40.0,0.0,0.0,0.0,2025-11-14 10:00:00,True,,,,
BTM,2.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.04999999999999993,4.999999999999993,5.551115123125783e-17,1.110223024625158e-13,5.551115123125783e-15,2025-11-13 16:00:00,True,,,,
BLDP,3.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.19999999999999996,19.999999999999996,1.1102230246251565e-16,5.551115123125784e-14,1.1102230246251565e-14,2025-11-13 16:00:00,True,,,,
AREC,3.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.44999999999999996,44.99999999999999,-0.15000000000000002,-33.33333333333334,-15.000000000000002,2025-11-14 10:00:00,True,,,,
CSIQ,29.0,C,2025-11-14,2025-11-21,2025-11-12 15:00:00,0.5,50.0,0.5999999999999999,119.99999999999997,59.999999999999986,2025-11-13 16:00:00,True,,,,
PEW,5.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.25,25.0,-0.2,-80.0,-20.0,2025-11-14 10:00:00,True,,,,
BN,45.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.3500000000000001,35.00000000000001,0.2499999999999999,71.42857142857137,24.99999999999999,2025-11-13 16:00:00,True,,,,
CBRL,30.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,1.5499999999999998,154.99999999999997,0.25,16.12903225806452,25.0,2025-11-14 10:00:00,True,,,,
BEEM,2.5,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.09999999999999999,10.0,0.05000000000000003,50.000000000000036,5.000000000000003,2025-11-14 10:00:00,True,,,,
CADL,5.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.35,35.0,-0.25,-71.42857142857143,-25.0,2025-11-14 10:00:00,True,,,,
AMAT,225.0,C,2025-11-14,2025-11-21,2025-11-12 15:00:00,1.9000000000000004,190.00000000000003,1.1799999999999997,62.10526315789471,117.99999999999997,2025-11-14 10:00:00,True,,,,
BZAI,3.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.1,10.0,-1.3877787807814457e-17,-1.3877787807814457e-14,-1.3877787807814457e-15,2025-11-14 10:00:00,True,,,,
CEPO,10.0,C,2025-11-21,2025-12-19,2025-11-12 15:00:00,0.04999999999999999,4.999999999999999,0.050000000000000044,100.00000000000011,5.000000000000004,2025-11-14 10:00:00,True,,,,
BITF,3.0,C,2025-11-14,2025-11-21,2025-11-12 15:00:00,0.10000000000000003,10.000000000000004,-0.030000000000000027,-30.000000000000014,-3.0000000000000027,2025-11-13 16:00:00,True,,,,
